
[TRAIN]------------------2022-03-23 04:20:42------------------

[TRAIN]------------------2022-03-23 04:22:07------------------
IT 1, LR 0.001000, TEER/TAcc 0.37, TLOSS 17.270243
IT 2, LR 0.001000, TEER/TAcc 0.53, TLOSS 10.521302
IT 3, LR 0.001000, TEER/TAcc 0.67, TLOSS 9.767040
IT 4, LR 0.001000, TEER/TAcc 0.96, TLOSS 9.251411
IT 5, LR 0.001000, TEER/TAcc 0.94, TLOSS 8.922421
IT 6, LR 0.001000, TEER/TAcc 1.46, TLOSS 8.643544
IT 7, LR 0.001000, TEER/TAcc 1.80, TLOSS 8.452182
IT 8, LR 0.001000, TEER/TAcc 2.13, TLOSS 8.210058
IT 9, LR 0.001000, TEER/TAcc 2.80, TLOSS 7.923987
IT 10, LR 0.001000, TEER/TAcc 3.41, TLOSS 7.736511, VEER 25.0471, MINEER 25.0471
IT 11, LR 0.001000, TEER/TAcc 3.91, TLOSS 7.613441
IT 12, LR 0.001000, TEER/TAcc 4.20, TLOSS 7.443589
IT 13, LR 0.001000, TEER/TAcc 4.82, TLOSS 7.279623
IT 14, LR 0.001000, TEER/TAcc 5.17, TLOSS 7.252652
IT 15, LR 0.001000, TEER/TAcc 6.30, TLOSS 7.074765
IT 16, LR 0.001000, TEER/TAcc 6.29, TLOSS 6.990932
IT 17, LR 0.001000, TEER/TAcc 6.85, TLOSS 6.893974
IT 18, LR 0.001000, TEER/TAcc 7.25, TLOSS 6.853222
IT 19, LR 0.001000, TEER/TAcc 7.68, TLOSS 6.758698
IT 20, LR 0.001000, TEER/TAcc 8.07, TLOSS 6.740479, VEER 18.2038, MINEER 18.2038
IT 21, LR 0.001000, TEER/TAcc 8.64, TLOSS 6.633502
IT 22, LR 0.001000, TEER/TAcc 9.06, TLOSS 6.540294
IT 23, LR 0.001000, TEER/TAcc 8.98, TLOSS 6.551853
IT 24, LR 0.001000, TEER/TAcc 10.06, TLOSS 6.463369
IT 25, LR 0.001000, TEER/TAcc 9.99, TLOSS 6.410800
IT 26, LR 0.001000, TEER/TAcc 11.15, TLOSS 6.364347
IT 27, LR 0.001000, TEER/TAcc 11.08, TLOSS 6.312762
IT 28, LR 0.001000, TEER/TAcc 11.51, TLOSS 6.312619
IT 29, LR 0.001000, TEER/TAcc 11.51, TLOSS 6.236745
IT 30, LR 0.001000, TEER/TAcc 11.73, TLOSS 6.206934, VEER 15.6494, MINEER 15.6494
IT 31, LR 0.001000, TEER/TAcc 12.36, TLOSS 6.145073
IT 32, LR 0.001000, TEER/TAcc 13.33, TLOSS 6.030171
IT 33, LR 0.001000, TEER/TAcc 13.47, TLOSS 6.013221
IT 34, LR 0.001000, TEER/TAcc 13.26, TLOSS 6.052708
IT 35, LR 0.001000, TEER/TAcc 13.49, TLOSS 6.027999
IT 36, LR 0.001000, TEER/TAcc 14.61, TLOSS 5.967137
IT 37, LR 0.001000, TEER/TAcc 13.99, TLOSS 5.946323
IT 38, LR 0.001000, TEER/TAcc 14.59, TLOSS 5.939570
IT 39, LR 0.001000, TEER/TAcc 15.17, TLOSS 5.862785
IT 40, LR 0.001000, TEER/TAcc 15.10, TLOSS 5.824526, VEER 15.5082, MINEER 15.5082
IT 41, LR 0.001000, TEER/TAcc 16.29, TLOSS 5.746900
IT 42, LR 0.001000, TEER/TAcc 16.88, TLOSS 5.748484
IT 43, LR 0.001000, TEER/TAcc 15.94, TLOSS 5.765410
IT 44, LR 0.001000, TEER/TAcc 17.02, TLOSS 5.707323
IT 45, LR 0.001000, TEER/TAcc 17.93, TLOSS 5.662312
IT 46, LR 0.001000, TEER/TAcc 17.25, TLOSS 5.698990
IT 47, LR 0.001000, TEER/TAcc 18.29, TLOSS 5.657449
IT 48, LR 0.001000, TEER/TAcc 17.47, TLOSS 5.631555
IT 49, LR 0.001000, TEER/TAcc 17.34, TLOSS 5.693917
IT 50, LR 0.001000, TEER/TAcc 18.05, TLOSS 5.638278, VEER 14.5873, MINEER 14.5873
IT 51, LR 0.001000, TEER/TAcc 18.86, TLOSS 5.546623
IT 52, LR 0.001000, TEER/TAcc 19.35, TLOSS 5.513494
IT 53, LR 0.001000, TEER/TAcc 19.41, TLOSS 5.474554
IT 54, LR 0.001000, TEER/TAcc 18.89, TLOSS 5.504315
IT 55, LR 0.001000, TEER/TAcc 20.06, TLOSS 5.504334
IT 56, LR 0.001000, TEER/TAcc 20.29, TLOSS 5.500709
IT 57, LR 0.001000, TEER/TAcc 19.72, TLOSS 5.477479
IT 58, LR 0.001000, TEER/TAcc 20.05, TLOSS 5.384873
IT 59, LR 0.001000, TEER/TAcc 19.95, TLOSS 5.407245
IT 60, LR 0.001000, TEER/TAcc 20.38, TLOSS 5.395120, VEER 14.1167, MINEER 14.1167
IT 61, LR 0.001000, TEER/TAcc 20.52, TLOSS 5.367824
IT 62, LR 0.001000, TEER/TAcc 20.87, TLOSS 5.393720
IT 63, LR 0.001000, TEER/TAcc 20.78, TLOSS 5.343482
IT 64, LR 0.001000, TEER/TAcc 21.72, TLOSS 5.326688
IT 65, LR 0.001000, TEER/TAcc 21.70, TLOSS 5.274940
IT 66, LR 0.001000, TEER/TAcc 21.44, TLOSS 5.286014
IT 67, LR 0.001000, TEER/TAcc 22.37, TLOSS 5.216794
IT 68, LR 0.001000, TEER/TAcc 22.57, TLOSS 5.204795
IT 69, LR 0.001000, TEER/TAcc 23.15, TLOSS 5.238392
IT 70, LR 0.001000, TEER/TAcc 22.67, TLOSS 5.193471, VEER 14.2511, MINEER 14.1167
IT 71, LR 0.001000, TEER/TAcc 23.13, TLOSS 5.205853
IT 72, LR 0.001000, TEER/TAcc 22.58, TLOSS 5.195411
IT 73, LR 0.001000, TEER/TAcc 23.78, TLOSS 5.127720
IT 74, LR 0.001000, TEER/TAcc 23.61, TLOSS 5.145516
IT 75, LR 0.001000, TEER/TAcc 24.60, TLOSS 5.099477
IT 76, LR 0.001000, TEER/TAcc 24.13, TLOSS 5.098967
IT 77, LR 0.001000, TEER/TAcc 24.18, TLOSS 5.099710
IT 78, LR 0.001000, TEER/TAcc 23.47, TLOSS 5.124746
IT 79, LR 0.001000, TEER/TAcc 23.51, TLOSS 5.160757
IT 80, LR 0.001000, TEER/TAcc 24.71, TLOSS 5.107307, VEER 13.3638, MINEER 13.3638
IT 81, LR 0.001000, TEER/TAcc 23.46, TLOSS 5.156923
IT 82, LR 0.001000, TEER/TAcc 24.36, TLOSS 5.092485
IT 83, LR 0.001000, TEER/TAcc 24.68, TLOSS 5.087013
IT 84, LR 0.001000, TEER/TAcc 24.81, TLOSS 5.045609
IT 85, LR 0.001000, TEER/TAcc 23.93, TLOSS 5.104727
IT 86, LR 0.001000, TEER/TAcc 25.03, TLOSS 5.052375
IT 87, LR 0.001000, TEER/TAcc 25.41, TLOSS 5.028032
IT 88, LR 0.001000, TEER/TAcc 26.11, TLOSS 4.933673
IT 89, LR 0.001000, TEER/TAcc 25.91, TLOSS 4.952950
IT 90, LR 0.001000, TEER/TAcc 25.61, TLOSS 5.012154, VEER 15.0645, MINEER 13.3638
IT 91, LR 0.001000, TEER/TAcc 26.29, TLOSS 4.968962
IT 92, LR 0.001000, TEER/TAcc 26.67, TLOSS 4.935420
IT 93, LR 0.001000, TEER/TAcc 26.94, TLOSS 4.927617
IT 94, LR 0.001000, TEER/TAcc 27.08, TLOSS 4.908132
IT 95, LR 0.001000, TEER/TAcc 26.91, TLOSS 4.912437
IT 96, LR 0.001000, TEER/TAcc 27.55, TLOSS 4.914634
IT 97, LR 0.001000, TEER/TAcc 26.88, TLOSS 4.936037
IT 98, LR 0.001000, TEER/TAcc 27.18, TLOSS 4.850976
IT 99, LR 0.001000, TEER/TAcc 27.69, TLOSS 4.863015
IT 100, LR 0.001000, TEER/TAcc 27.66, TLOSS 4.835625, VEER 13.1084, MINEER 13.1084
IT 101, LR 0.001000, TEER/TAcc 27.76, TLOSS 4.847373
IT 102, LR 0.001000, TEER/TAcc 27.37, TLOSS 4.849274
IT 103, LR 0.001000, TEER/TAcc 27.59, TLOSS 4.845294
IT 104, LR 0.001000, TEER/TAcc 28.25, TLOSS 4.800103
IT 105, LR 0.001000, TEER/TAcc 28.09, TLOSS 4.884315
IT 106, LR 0.001000, TEER/TAcc 28.33, TLOSS 4.785983
IT 107, LR 0.001000, TEER/TAcc 27.22, TLOSS 4.879818
IT 108, LR 0.001000, TEER/TAcc 28.29, TLOSS 4.794451
IT 109, LR 0.001000, TEER/TAcc 29.29, TLOSS 4.765632
IT 110, LR 0.001000, TEER/TAcc 28.05, TLOSS 4.798624, VEER 12.6311, MINEER 12.6311
IT 111, LR 0.001000, TEER/TAcc 28.32, TLOSS 4.802853
IT 112, LR 0.001000, TEER/TAcc 29.12, TLOSS 4.757699
IT 113, LR 0.001000, TEER/TAcc 28.40, TLOSS 4.821326
IT 114, LR 0.001000, TEER/TAcc 29.39, TLOSS 4.742678
IT 115, LR 0.001000, TEER/TAcc 29.69, TLOSS 4.700715
IT 116, LR 0.001000, TEER/TAcc 29.09, TLOSS 4.776927
IT 117, LR 0.001000, TEER/TAcc 28.91, TLOSS 4.750770
IT 118, LR 0.001000, TEER/TAcc 29.10, TLOSS 4.760159
IT 119, LR 0.001000, TEER/TAcc 29.94, TLOSS 4.702409
IT 120, LR 0.001000, TEER/TAcc 30.64, TLOSS 4.670192, VEER 12.2882, MINEER 12.2882
IT 121, LR 0.001000, TEER/TAcc 29.70, TLOSS 4.685633
IT 122, LR 0.001000, TEER/TAcc 30.48, TLOSS 4.658347
IT 123, LR 0.001000, TEER/TAcc 30.54, TLOSS 4.647769
IT 124, LR 0.001000, TEER/TAcc 31.24, TLOSS 4.574058
IT 125, LR 0.001000, TEER/TAcc 30.39, TLOSS 4.667513
IT 126, LR 0.001000, TEER/TAcc 31.19, TLOSS 4.607554
IT 127, LR 0.001000, TEER/TAcc 30.68, TLOSS 4.587059
IT 128, LR 0.001000, TEER/TAcc 31.04, TLOSS 4.606433
IT 129, LR 0.001000, TEER/TAcc 31.63, TLOSS 4.579355
IT 130, LR 0.001000, TEER/TAcc 31.61, TLOSS 4.581734, VEER 11.9790, MINEER 11.9790
IT 131, LR 0.001000, TEER/TAcc 31.61, TLOSS 4.595974
IT 132, LR 0.001000, TEER/TAcc 32.03, TLOSS 4.569313
IT 133, LR 0.001000, TEER/TAcc 31.15, TLOSS 4.608421
IT 134, LR 0.001000, TEER/TAcc 31.76, TLOSS 4.535834
IT 135, LR 0.001000, TEER/TAcc 32.29, TLOSS 4.555042
IT 136, LR 0.001000, TEER/TAcc 31.16, TLOSS 4.602851
IT 137, LR 0.001000, TEER/TAcc 32.65, TLOSS 4.531500
IT 138, LR 0.001000, TEER/TAcc 32.74, TLOSS 4.521221
IT 139, LR 0.001000, TEER/TAcc 32.49, TLOSS 4.519917
IT 140, LR 0.001000, TEER/TAcc 32.71, TLOSS 4.481519, VEER 11.8379, MINEER 11.8379
IT 141, LR 0.001000, TEER/TAcc 32.15, TLOSS 4.520104
IT 142, LR 0.001000, TEER/TAcc 33.24, TLOSS 4.491362
IT 143, LR 0.001000, TEER/TAcc 32.14, TLOSS 4.521327
IT 144, LR 0.001000, TEER/TAcc 33.63, TLOSS 4.468306
IT 145, LR 0.001000, TEER/TAcc 32.87, TLOSS 4.497396
IT 146, LR 0.001000, TEER/TAcc 32.34, TLOSS 4.491745
IT 147, LR 0.001000, TEER/TAcc 34.22, TLOSS 4.438086
IT 148, LR 0.001000, TEER/TAcc 33.69, TLOSS 4.470529
IT 149, LR 0.001000, TEER/TAcc 33.17, TLOSS 4.445378
IT 150, LR 0.001000, TEER/TAcc 33.70, TLOSS 4.421369, VEER 12.6176, MINEER 11.8379
IT 151, LR 0.001000, TEER/TAcc 33.04, TLOSS 4.444976
IT 152, LR 0.001000, TEER/TAcc 32.77, TLOSS 4.450500
